236,F0001,C06-X07,M113,320
237,F0001,M5,C07-X03,520
238,F0001,T204-X03,M64,260
239,F0001,M87,F02-X03,240
240,F0001,T204-X09,M63,310
241,F0001,M95,T256-X01,500
242,F0001,T204-X11,M63,340
243,F0001,M94,T256-X03,370
244,F0001,D01-X32,M35,380
245,F0001,M35,M34,160
246,F0001,M28,C03-X12,330
247,F0001,D01-X34,M35,330
248,F0001,M28,C03-X15,330
249,F0001,T503-X05G,M114,330
250,F0001,M12,M13,230
251,F0001,M13,C04-X01,290
252,F0001,T503-X01,M138,360
253,F0001,M13,C04-X03,280
254,F0001,T503-X07,M114,340
255,F0001,M13,C04-X05,300
256,F0001,D01-X28,M36,370
257,F0001,M36,M35,80
258,F0001,M28,C03-X08,300
259,F0001,D01-X31,M35,410
260,F0001,M28,C03-X11,320
261,F0001,D01-X15,M38,420
262,F0001,M38,M37,130
263,F0001,M79,T203-X15,440
264,F0001,T301-X01,M152,490
265,F0001,M152,M151,70
266,F0001,M13,C04-X10,370
267,F0001,D01-X18,M38,360
268,F0001,M79,T203-X18,420
269,F0001,D01-X29,M36,350
270,F0001,M28,C03-X09,300
271,F0001,D01-X20,M37,440
272,F0001,M79,T203-X20,380
273,F0001,D01-X26,M36,420
274,F0001,M28,C03-X06,330
275,F0001,D01-X19,M38,360
276,F0001,M79,T203-X19,400
277,F0001,D01-X16,M38,400
278,F0001,M79,T203-X16,400
279,F0001,D01-X24,M37,350
280,F0001,M28,C03-X04,310
281,F0001,D01-X30,M36,330
282,F0001,M28,C03-X10,310
283,F0001,D01-X23,M37,360
284,F0001,M28,C03-X03,310
285,F0001,D01-X13,M40,350
286,F0001,M79,T203-X13,460
287,F0001,D01-X22,M37,370
288,F0001,M28,C03-X02,310
289,F0001,D01-X25,M37,340
290,F0001,M28,C03-X05,330
291,F0001,D01-X17,M38,380
292,F0001,M79,T203-X17,450
293,F0001,D01-X21,M37,400
294,F0001,M28,C03-X01,310
295,F0001,D01-X27,M36,390
296,F0001,M28,C03-X07,310
297,F0001,D01-X14,M38,440
298,F0001,M79,T203-X14,460
299,F0001,D01-X33,M35,360
300,F0001,M144,C03-X14,310
301,F0001,D01-X35,M35,320
302,F0001,M144,C03-X13,310
303,F0001,T503-X06G,M114,420
304,F0001,M13,C04-X02,290
305,F0001,T503-X02,M138,280
306,F0001,M13,C04-X04,290
307,F0001,T503-X08,M114,420
308,F0001,M13,C04-X06,320
309,F0001,T503-X03,M138,370
310,F0001,M13,C04-X07,280
311,F0001,T503-X04,M138,290
312,F0001,M13,C04-X08,280
313,F0001,M13,C04-X09,290
314,F0001,M129,M128,190
315,F0001,M124,C05-X03,220
316,F0001,M124,C05-X08,220
317,F0001,M136,M135,160
318,F0001,M124,C05-X11,240
319,F0001,T254-X02,M135,300
320,F0001,M124,C05-X12,250
321,F0001,T301-X03,M151,480
322,F0001,M13,C04-X12,390
323,F0001,T254-X03,M136,220
324,F0001,M137,C05-X13,190
325,F0001,M137,C05-X14,270
326,F0001,M124,C05-X15,320
327,F0001,T403-X01,M24,560
328,F0001,M66,F01-X02,380
329,F0001,C06-X01,M113,270
330,F0001,M65,F01-X03,300
331,F0001,T251-X03,M129,210
332,F0001,M124,C05-X04,230
333,F0001,T301-X07,M152,370
334,F0001,M124,C05-X01,240
335,F0001,M124,C05-X05,300
336,F0001,M131,M130,150
337,F0001,M124,C05-X06,310
338,F0001,T252-X03,M131,290
339,F0001,M124,C05-X07,230
340,F0001,M134,M133,60
341,F0001,M124,C05-X09,240
342,F0001,T253-X03,M134,270
343,F0001,M124,C05-X10,250
344,F0001,M124,C05-X02,200
345,F0001,T301-X02,M152,490
346,F0001,M13,C04-X11,380
347,F0001,T301-X06,M149,510
348,F0001,M13,C04-X15,400
349,F0001,C06-X05,M113,300
350,F0001,M5,C07-X01,550
351,F0001,D02-X23,M99,350
352,F0001,M99,M98,130
353,F0001,M90,F03-X06,370
354,F0001,D02-X27,M104,350
355,F0001,M104,M103,110
356,F0001,M102,M101,70
357,F0001,M101,M100,70
358,F0001,D02-X22,M99,370
359,F0001,M90,M91,100
360,F0001,M91,F03-X05,340
361,F0001,D02-X30,M104,340
362,F0001,M50,M51,120
363,F0001,M51,M52,80
364,F0001,M52,T507-X05G,300
