event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason,source_file,method,instance_id,prim_score,extract_time_seconds
16,33,16,459,212,553,t_z_136_135_2,z,0.8605144619211735,0.8605144619211735,-27.785907745361328,0.0,-27.785907745361328,-30.78708666550048,3.987617892782008,-54.96750259399414,-27.785907745361328,0.0211601257324218,none,0.0,1e+20,2.934110000000004,1e+20,17376,17,0.017919713,0.671929372,0.689853094,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017919713
17,34,17,427,338,1231,t_z_134_133_1,z,0.8052173913043476,0.8052173913043476,-27.823387145996094,0.0,-27.823387145996094,-30.92739685022859,4.055141751424044,-54.98775100708008,-27.823387145996094,0.0541534423828125,none,0.0,1e+20,2.934110000000004,1e+20,17422,18,0.018119056,0.673459165,0.6915824889999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.018119056
18,37,18,427,255,834,t_z_1_496_3,z,0.9237000000000009,0.9237000000000009,-27.884548187255856,0.0,-27.884548187255856,-30.9398300563982,4.041903500351808,-54.97501754760742,-27.884548187255856,0.007181167602539,none,0.0,1e+20,2.934110000000004,1e+20,17427,19,0.017863764,0.671237417,0.689104983,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017863764
19,39,19,413,200,627,t_z_189_188_3,z,0.999,0.999,-27.875175476074215,0.0,-27.875175476074215,-30.967988607669856,4.1315462632028925,-54.95581817626953,-27.875175476074215,0.0353298187255859,none,0.0,1e+20,2.934110000000004,1e+20,17435,20,0.017932129,0.673412643,0.691348311,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017932129
20,41,20,449,375,1287,t_z_526_525_1,z,0.9965,0.9965,-27.80620765686035,0.0,-27.80620765686035,-31.219592610552475,4.242331684145992,-54.992488861083984,-27.80620765686035,0.1041011810302734,none,0.0,1e+20,2.934110000000004,1e+20,17486,21,0.017512264,0.674174326,0.69169111,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017512264
21,43,21,443,187,501,t_z_93_92_0,z,0.999,0.999,-27.92348861694336,0.0,-27.92348861694336,-31.20953799262811,4.253119012650769,-54.98624420166016,-27.92348861694336,0.0402584075927734,none,0.0,1e+20,2.934110000000004,1e+20,17490,22,0.0180501209999999,0.675672951,0.6937276359999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.0180501209999999
22,45,22,437,165,427,t_z_3_2_3,z,0.920388888888888,0.920388888888888,-27.97665786743164,0.0,-27.97665786743164,-31.226874427882706,4.267761685670166,-54.977153778076165,-27.97665786743164,0.0190010070800781,none,0.0,1e+20,2.934110000000004,1e+20,17491,23,0.018301918,0.674116178,0.692422194,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.018301918
23,46,23,454,305,968,t_z_508_509_2,z,0.9986,0.9986,-28.046436309814453,0.0,-28.046436309814453,-31.218278742046607,4.227743683310717,-54.91085052490234,-28.046436309814453,0.005960464477539,none,0.0,1e+20,2.934110000000004,1e+20,17569,24,0.017729818,0.6719143229999999,0.689648023,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017729818
24,49,24,463,315,969,t_z_509_508_2,z,0.8920000000000005,0.8920000000000005,-27.960262298583984,0.0,-27.960262298583984,-31.226224116578727,4.19757408088667,-54.904884338378906,-27.960262298583984,0.1038265228271484,none,0.0,1e+20,2.934110000000004,1e+20,17577,25,0.0179839159999999,0.675137599,0.693125722,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.0179839159999999
25,50,25,462,396,1303,t_z_527_189_1,z,0.9996,0.9996,-28.07103157043457,0.0,-28.07103157043457,-31.230753729353737,4.196274165807036,-54.889556884765625,-28.07103157043457,0.0273361206054687,none,0.0,1e+20,2.934110000000004,1e+20,17579,26,0.017971747,0.672373899,0.690349608,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017971747
