protocol,instance_id,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,mean_final_gap,finite_gap_runs,par2,branch_decisions,rl_inference_total,fallback_count
controlled-bbmdp,real_05,transfer,medium,rl-mlp,5,0,0.0,31.08887924640559,3.6370839259561007,,0,60.0,130,0.060533001999999995,0
controlled-bbmdp,real_08,validation,medium,default,5,3,0.6,23.593964618362747,3.1825582103650927,0.0,3,35.9636334404,0,0.0,0
controlled-bbmdp,real_08,validation,medium,mostinf,5,5,1.0,20.574512546199525,7.613024217461064,0.0,5,20.653156115199998,0,0.0,0
controlled-bbmdp,real_08,validation,medium,random,5,5,1.0,20.528129887996073,7.222437857035596,0.0,5,20.5880121562,0,0.0,0
controlled-bbmdp,real_08,validation,medium,relpscost,5,3,0.6,23.657354306247882,3.1825582103650927,0.0,3,35.993926966,0,0.0,0
controlled-bbmdp,real_08,validation,medium,rl-gcnn,5,4,0.8,24.634568148428862,6.674580766501223,0.0,4,30.498216984600003,114,6.624533502,0
controlled-bbmdp,real_08,validation,medium,rl-mlp,5,3,0.6,24.09590503555795,8.67727064749837,0.0,3,36.2335491992,202,0.08412346,0
controlled-bbmdp,real_09,test,small,default,5,5,1.0,1.828939777471125,1.6390158215457884,0.0,5,1.9691599384,0,0.0,0
controlled-bbmdp,real_09,test,small,mostinf,5,5,1.0,1.6452583365620672,2.3405553046696213,0.0,5,1.6853603246000002,0,0.0,0
controlled-bbmdp,real_09,test,small,random,5,5,1.0,1.6653697325653143,2.2307885324043553,0.0,5,1.7023206974,0,0.0,0
controlled-bbmdp,real_09,test,small,relpscost,5,5,1.0,1.8452773801829316,1.6390158215457884,0.0,5,1.9857989294,0,0.0,0
controlled-bbmdp,real_09,test,small,rl-gcnn,5,5,1.0,3.9541791176154204,2.3405553046696213,0.0,5,4.1673033592,22,2.762882268,0
controlled-bbmdp,real_09,test,small,rl-mlp,5,5,1.0,2.062571166492472,2.031433133020796,0.0,5,2.100360512,15,0.004936456,0
controlled-bbmdp,real_09,test,small,strong,5,5,1.0,2.1234545351774905,1.8619381622105111,0.0,5,2.5593218078,0,0.0,0
production-scip,real_01,transfer,medium,default,5,0,0.0,30.82634644118869,4.193957121017385,0.0840867577107423,3,60.0,0,0.0,0
production-scip,real_01,transfer,medium,mostinf,5,2,0.4,28.75661309888764,96.44560641302527,0.0011201727269938792,4,46.4432785018,0,0.0,0
production-scip,real_01,transfer,medium,random,5,2,0.4,26.987990246866445,44.27074900435355,0.0071238728836569,3,44.870081416800005,0,0.0,0
production-scip,real_01,transfer,medium,relpscost,5,0,0.0,30.801943016532668,4.193957121017385,0.0840867577107423,3,60.0,0,0.0,0
