protocol,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,median_wall_time,median_nodes,mean_final_gap,finite_gap_runs,par2,average_rank,rl_inference_total,rl_inference_fraction,fallback_count,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses
production-scip,transfer,large,relpscost,10,0,0.0,34.14968060412548,0.4142135623730949,34.7669689565,0.5,,0,60.0,3.5,0.0,0.0,0,0.9991345100252234,0.9973338833087596,1.0011820122913848,1,26,8
production-scip,transfer,large,rl-gcnn,10,0,0.0,35.759668567686475,0.4142135623730949,36.7380796295,0.5,,0,60.0,3.5,0.0,0.0,0,0.965850122921742,0.8548657486311486,1.0946552186653837,5,22,8
production-scip,transfer,large,rl-mlp,10,0,0.0,34.4073856892579,0.4142135623730949,35.0358056995,0.5,,0,60.0,3.5,0.0,0.0,0,1.0214429973543455,0.9635725770252199,1.0889754828118288,3,25,7
production-scip,transfer,medium,default,15,0,0.0,30.750035025351508,1.9885279373210922,30.736719671,1.0,0.0840867577107423,3,60.0,3.8,0.0,0.0,0,1.0,1.0,1.0,0,35,0
production-scip,transfer,medium,mostinf,15,2,0.13333333333333333,30.07541143564959,8.682484031437602,30.664087621,1.0,0.000897877675024024,5,55.48109283393333,3.4,0.0,0.0,0,1.1089824919684852,1.024106880709611,1.2211824397162852,8,23,4
production-scip,transfer,medium,random,15,3,0.2,29.26834039571049,6.333404303848217,30.697923572,1.0,0.005342904662742675,4,52.799731911,3.033333333333333,0.0,0.0,0,1.077492981602078,0.9796415236197731,1.1962908333796272,5,23,7
production-scip,transfer,medium,relpscost,15,0,0.0,30.805432794054443,1.9885279373210922,30.782035725,1.0,0.0840867577107423,3,60.0,3.8,0.0,0.0,0,0.9991345100252234,0.9973338833087596,1.0011820122913848,1,26,8
production-scip,transfer,medium,rl-gcnn,15,3,0.2,32.332820129763995,4.571225197775175,32.582460796,1.0,0.0001574710900409,4,54.20131567573333,3.3666666666666667,18.575133905,0.041532410504656156,0,0.965850122921742,0.8548657486311486,1.0946552186653837,5,22,8
production-scip,transfer,medium,rl-mlp,15,1,0.06666666666666667,30.804953019728128,7.413330131141567,31.045872396,1.0,0.048024460568962854,4,57.78562296333333,3.6,0.286549818,0.0006403229153082654,0,1.0214429973543455,0.9635725770252199,1.0889754828118288,3,25,7
production-scip,validation,medium,default,5,4,0.8,23.26901362817052,2.9287570174054607,20.708880306,1.0,0.0,4,29.6543088412,2.7,0.0,0.0,0,1.0,1.0,1.0,0,35,0
production-scip,validation,medium,mostinf,5,5,1.0,20.388016462143096,7.0953558103467405,20.51666813,1.0,0.0,5,20.427355943600002,2.0,0.0,0.0,0,1.1089824919684852,1.024106880709611,1.2211824397162852,8,23,4
production-scip,validation,medium,random,5,3,0.6,23.560146460967875,4.92402612457345,20.77173844,1.0,0.02754808418555778,5,35.888829841799996,3.5,0.0,0.0,0,1.077492981602078,0.9796415236197731,1.1962908333796272,5,23,7
production-scip,validation,medium,relpscost,5,4,0.8,23.345215986563044,2.9287570174054607,20.755057491,1.0,0.0,4,29.732569885600004,4.3,0.0,0.0,0,0.9991345100252234,0.9973338833087596,1.0011820122913848,1,26,8
