event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
329,659,117,1300,511,1195,t_z_98_97_1,z,0.49940000000000001,0.49940000000000001,11.613754272460938,0,11.613754272460938,11.61254252580496,0.00079788320910248066,11.609846115112305,11.613754272460938,9.5367431640625e-07,none,0,1e+20,3.0719589999999921,1e+20,78609,330,0.16031906400000001,0.030586390000000001,0.190913376,true,branched,
330,661,118,1299,839,2531,t_z_329_145_1,z,0.38855555555555554,0.38855555555555554,11.643274307250977,0,11.643274307250977,11.64206139797243,0.00079862123657128991,11.639368057250977,11.643274307250977,1.9073486328125e-06,none,0,1e+20,3.0719589999999921,1e+20,78610,331,0.16437533400000001,0.030677118,0.195062077,true,branched,
331,663,119,1302,1010,3160,t_z_405_406_0,z,0.38932153892321775,0.38932153892321775,11.672399520874023,0,11.672399520874023,11.671180374245123,0.00080164325328472609,11.668490409851074,11.672399520874023,3.814697265625e-06,none,0,1e+20,3.0719589999999921,1e+20,78619,332,0.162545299,0.030791493,0.19334626699999999,true,branched,
332,665,120,1296,606,1691,t_z_216_215_1,z,0.45362376219569212,0.45362376219569212,11.701605796813965,0,11.701605796813965,11.700304818006209,0.00080969284559420835,11.697605133056641,11.701605796813965,5.340576171875e-05,none,0,1e+20,3.0719589999999921,1e+20,78645,333,0.162582897,0.030644292,0.19323504599999999,true,branched,
333,667,121,1293,609,1755,t_z_229_221_1,z,0.45490451725087544,0.45490451725087544,11.730670928955078,0,11.730670928955078,11.729419588028509,0.0008114898522411393,11.726723670959473,11.730670928955078,3.0517578125e-05,none,0,1e+20,3.0719589999999921,1e+20,78647,334,0.160772844,0.030590464000000001,0.19137137100000001,true,branched,
334,669,122,1291,493,1117,t_z_77_76_2,z,0.49962499999999999,0.49962499999999999,11.760202407836914,0,11.760202407836914,11.758983044731442,0.00081225347721460819,11.756288528442383,11.760202407836914,9.5367431640625e-06,none,0,1e+20,3.0719589999999921,1e+20,78649,335,0.15916016399999999,0.030570763000000001,0.18973857799999999,true,branched,
335,671,123,1290,547,1480,t_z_27_161_0,z,0.499,0.499,11.789838790893555,0,11.789838790893555,11.788624579407449,0.00081299343808631183,11.785934448242188,11.789838790893555,1.049041748046875e-05,none,0,1e+20,3.0719589999999921,1e+20,78650,336,0.16072969000000001,0.030597993,0.19133557800000001,true,branched,
336,673,124,1289,1156,3987,t_z_538_71_1,z,0.39567206402828203,0.39567206402828203,11.819470405578613,0,11.819470405578613,11.818263734561516,0.0008153261849902048,11.815576553344727,11.819470405578613,1.9073486328125e-06,none,0,1e+20,3.0719589999999921,1e+20,78651,337,0.16458458200000001,0.03064892,0.19524312699999999,true,branched,
337,675,125,1288,462,907,t_z_34_33_1,z,0.37499999999999994,0.37499999999999994,11.849112510681152,0,11.849112510681152,11.847906520648031,0.00081504386564551382,11.845223426818848,11.849112510681152,0,none,0,1e+20,3.0719589999999921,1e+20,78653,338,0.158904449,0.030568406999999999,0.189482281,true,branched,
338,677,126,1285,478,986,t_z_49_50_1,z,0.5,0.5,11.878755569458008,0,11.878755569458008,11.877545200154939,0.00081846591085351337,11.874866485595703,11.878755569458008,3.814697265625e-06,none,0,1e+20,3.0719589999999921,1e+20,78655,339,0.16060133500000001,0.0305572,0.19116583300000001,true,branched,
339,679,127,1285,460,905,t_z_34_33_0,z,0.5,0.5,11.908395767211914,0,11.908395767211914,11.907186347130208,0.00081948367937774587,11.904508590698242,11.908395767211914,2.09808349609375e-05,none,0,1e+20,3.0719589999999921,1e+20,78658,340,0.15951336999999999,0.030753933000000001,0.190274888,true,branched,
340,681,128,1295,845,2578,t_z_81_334_1,z,0.41623151218591825,0.41623151218591825,11.938726425170898,0,11.938726425170898,11.937472251391318,0.00082181315419325854,11.934800148010254,11.938726425170898,3.0517578125e-05,none,0,1e+20,3.0719589999999921,1e+20,78692,341,0.15891902599999999,0.030644226,0.189571351,true,branched,
341,683,129,1292,1112,3827,t_z_470_333_1,z,0.46208194941338765,0.46208194941338765,11.9691162109375,0,11.9691162109375,11.967885570998531,0.0008278460837614493,11.965219497680664,11.9691162109375,2.193450927734375e-05,none,0,1e+20,3.0719589999999921,1e+20,78708,342,0.16184986500000001,0.030714442000000002,0.192573251,true,branched,
342,685,130,1286,486,1171,t_z_91_89_1,z,0.41683588995788423,0.41683588995788423,11.999690055847168,0,11.999690055847168,11.998284258330777,0.00085934425358930554,11.995290756225586,11.999690055847168,7.534027099609375e-05,none,0,1e+20,3.0719589999999921,1e+20,78803,343,0.16190654300000001,0.030588201999999998,0.19250251800000001,true,branched,
343,687,131,1285,551,1593,t_z_191_190_0,z,0.37398562997578677,0.37398562997578677,12.030010223388672,0,12.030010223388672,12.028702002647785,0.0008588644898755919,12.025711059570312,12.030010223388672,2.288818359375e-05,none,0,1e+20,3.0719589999999921,1e+20,78804,344,0.16226173899999999,0.030586746000000001,0.19285665499999999,true,branched,
344,689,132,1284,558,1625,t_z_201_200_0,z,0.37498562997578672,0.37498562997578672,12.060407638549805,0,12.060407638549805,12.0591184751267,0.00086131863481009449,12.056134223937988,12.060407638549805,1.9073486328125e-06,none,0,1e+20,3.0719589999999921,1e+20,78807,345,0.16168608300000001,0.030542954000000001,0.19223842799999999,true,branched,
345,691,133,1283,603,1859,t_z_508_507_1,z,0.41683588995788445,0.41683588995788445,12.090826988220215,0,12.090826988220215,12.089538893844592,0.00086076748956701867,12.086553573608398,12.090826988220215,9.5367431640625e-07,none,0,1e+20,3.0719589999999921,1e+20,78808,346,0.162416592,0.030614737999999999,0.19304073999999999,true,branched,
346,692,134,1283,1265,4403,t_z_512_508_1,z,0.41683588995788445,0.41683588995788445,12.121251106262207,0,12.121251106262207,12.119961934078511,0.00086083021889373629,12.116976737976074,12.121251106262207,3.814697265625e-06,none,0,1e+20,3.0719589999999921,1e+20,78809,347,0.16463277000000001,0.03069293,0.19533497799999999,true,branched,
347,695,135,1278,591,1801,t_z_530_528_0,z,0.38485700444477988,0.38485700444477988,12.151647567749023,0,12.151647567749023,12.15038625287338,0.00086302984778063049,12.147397041320801,12.151647567749023,1.9073486328125e-06,none,0,1e+20,3.0719589999999921,1e+20,78834,348,0.164836551,0.030554030999999999,0.19539662599999999,true,branched,
348,130,65,1363,533,1229,t_z_103_98_2,z,0.73194547169123181,0.73194547169123181,12.730209350585938,0,12.730209350585938,12.728768804190532,0.00082810207327016093,12.726284027099609,12.730209350585938,9.5367431640625e-06,none,0,1e+20,3.0719589999999921,1e+20,83749,349,0.16220522900000001,0.031229890999999999,0.193442999,true,branched,
349,699,66,1347,528,1257,t_z_108_107_0,z,0.7517333598908883,0.7517333598908883,12.750327110290527,0,12.750327110290527,12.748894825279049,0.00082684838007460832,12.74640941619873,12.750327110290527,2.288818359375e-05,none,0,1e+20,3.0719589999999921,1e+20,83779,350,0.16488834399999999,0.030862965999999999,0.19575969600000001,true,branched,
350,701,67,1346,518,1193,t_z_98_97_0,z,0.7527333598908883,0.7527333598908883,12.782293319702148,0,12.782293319702148,12.780880237936442,0.00082635909635591102,12.778397560119629,12.782293319702148,1.1444091796875e-05,none,0,1e+20,3.0719589999999921,1e+20,83780,351,0.159043512,0.030875624000000001,0.18992529599999999,true,branched,
351,703,68,1346,624,1693,t_z_216_215_2,z,0.69656392285404312,0.69656392285404312,12.814515113830566,0,12.814515113830566,12.8131095643915,0.00082595636037959322,12.810629844665527,12.814515113830566,2.193450927734375e-05,none,0,1e+20,3.0719589999999921,1e+20,83782,352,0.15767582699999999,0.030894916000000001,0.18857771600000001,true,branched,
352,705,69,1345,1306,4338,t_z_484_505_1,z,0.74949999999999983,0.74949999999999983,12.848183631896973,0,12.848183631896973,12.846799386744163,0.00082582205981068931,12.844325065612793,12.848183631896973,5.7220458984375e-06,none,0,1e+20,3.0719589999999921,1e+20,83785,353,0.15786689700000001,0.030902529000000001,0.18877913199999999,true,branched,
353,707,70,1343,861,2553,t_z_332_331_0,z,0.75270546923999304,0.75270546923999304,12.881867408752441,0,12.881867408752441,12.880485835753531,0.00083074691046735964,12.877899169921875,12.881867408752441,0,none,0,1e+20,3.0719589999999921,1e+20,83798,354,0.16051391000000001,0.030845691000000001,0.191368752,true,branched,
354,708,71,1346,517,1177,t_z_94_93_0,z,0.66666666666666674,0.66666666666666674,12.914323806762695,0,12.914323806762695,12.912944908482181,0.00083233980980515693,12.910356521606445,12.914323806762695,1.9073486328125e-06,none,0,1e+20,3.0719589999999921,1e+20,83822,355,0.160070721,0.030867115000000001,0.19094531100000001,true,branched,
355,711,72,1345,485,987,t_z_50_49_1,z,0.7024409860494929,0.7024409860494929,12.945963859558105,0,12.945963859558105,12.944580916223916,0.00083349724490886683,12.941997528076172,12.945963859558105,2.86102294921875e-06,none,0,1e+20,3.0719589999999921,1e+20,83823,356,0.16261399600000001,0.030831672000000001,0.193453816,true,branched,
356,712,73,1344,860,2549,t_z_331_330_2,z,0.76769873822052892,0.76769873822052892,12.977754592895508,0,12.977754592895508,12.976583630556153,0.00073567704213325447,12.974123954772949,12.977754592895508,3.814697265625e-06,none,0,1e+20,3.0719589999999921,1e+20,83843,357,0.16081627200000001,0.031293484000000003,0.192118187,true,branched,
357,715,74,1325,1097,3662,t_z_145_453_3,z,0.75610514932615125,0.75610514932615125,13.010483741760254,0,13.010483741760254,13.009320107945856,0.00073879718757004806,13.006856918334961,13.010483741760254,5.7220458984375e-06,none,0,1e+20,3.0719589999999921,1e+20,83874,358,0.161533596,0.030603439999999999,0.192146224,true,branched,
358,717,75,1322,651,1870,t_z_323_515_3,z,0.76952169292651429,0.76952169292651429,13.043214797973633,0,13.043214797973633,13.042049693628448,0.00073845001531670687,13.039592742919922,13.043214797973633,9.5367431640625e-07,none,0,1e+20,3.0719589999999921,1e+20,83887,359,0.16108138499999999,0.030632804999999999,0.191722061,true,branched,
359,719,76,1319,609,1678,t_z_82_212_3,z,0.68273827090243411,0.68273827090243411,13.075947761535645,0,13.075947761535645,13.07478271640549,0.00073812348175412751,13.07232666015625,13.075947761535645,3.814697265625e-06,none,0,1e+20,3.0719589999999921,1e+20,83890,360,0.16154313300000001,0.030629525000000001,0.192180351,true,branched,
