event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
20,41,19,115,2,8,t_m_2_0,m,0.24950000000000006,0.24950000000000006,-25.450098037719727,0.30000001192092896,-25.300098419189453,-26.10950174746306,0.33122745506029999,-26.744743347167969,-25.430027008056641,0.01122283935546875,prim,0.5,1e+20,0.0096120999999999984,1e+20,13128,21,0.012694161000000001,0.387071479,0.40664776800000002,true,branched,
21,43,20,126,4,24,t_m_6_0,m,0.49950000000000006,0.49950000000000006,-25.693389892578125,0.30000001192092896,-25.543390274047852,-26.229440128992476,0.36972780019024226,-27.007114410400391,-25.42255973815918,0.18179893493652344,prim,0.5,1e+20,0.0096120999999999984,1e+20,13164,22,0.013023036999999999,0.41049280999999999,0.430469775,true,branched,
22,45,21,123,0,0,t_m_0_0,m,0.0020000000000000018,0.0020000000000000018,-25.622587203979492,0,-25.622587203979492,-26.244437334014147,0.36567511606419972,-27.007469177246094,-25.409904479980469,0.21268272399902344,prim,0.5,1e+20,0.0096120999999999984,1e+20,13166,23,0.012858672999999999,0.46410487099999997,0.48383491899999997,true,branched,
23,47,22,115,10,60,t_m_15_0,m,0.0015000000000000566,0.0015000000000000566,-25.635595321655273,0.30000001192092896,-25.485595703125,-26.213587885317594,0.32576448284015902,-26.885772705078125,-25.466176986694336,0.16665840148925781,prim,0.5,1e+20,0.0096120999999999984,1e+20,13202,24,0.013068161999999999,0.40712774000000002,0.42707867799999999,true,branched,
24,49,23,122,14,73,t_m_18_1,m,0.0029999999999997806,0.0029999999999997806,-25.663057327270508,0,-25.663057327270508,-26.234185781635222,0.30973681326087404,-26.846258163452148,-25.522556304931641,0.14050102233886719,prim,0.5,1e+20,0.0096120999999999984,1e+20,13228,25,0.012998558,0.347103577,0.36702201299999998,true,branched,
25,50,24,119,10,77,t_m_19_1,m,0.0010000000000000009,0.0010000000000000009,-25.695411682128906,0,-25.695411682128906,-26.273469267773027,0.30699719659091584,-26.839006423950195,-25.536487579345703,0.15892410278320312,prim,0.5,1e+20,0.0096120999999999984,1e+20,13241,26,0.013168707,0.47540671200000001,0.495390991,true,branched,
26,52,25,121,8,65,t_m_16_1,m,0.0010000000000001119,0.0010000000000001119,-25.714223861694336,0.30000001192092896,-25.564224243164062,-26.285209387787116,0.30459051636217122,-26.856168746948242,-25.547021865844727,0.16720199584960938,prim,0.5,1e+20,0.0096120999999999984,1e+20,13245,27,0.01285509,0.42208011400000001,0.441778422,true,branched,
27,54,26,115,8,57,t_m_14_1,m,0.0010000000000001119,0.0010000000000001119,-25.73505973815918,0,-25.73505973815918,-26.282839418494184,0.30230411495228171,-26.868492126464844,-25.558464050292969,0.17659568786621094,prim,0.5,1e+20,0.0096120999999999984,1e+20,13247,28,0.013017025,0.491520507,0.51138845499999996,true,branched,
28,57,27,106,12,85,t_m_21_1,m,0.0013333333333334085,0.0013333333333334085,-25.757593154907227,0,-25.757593154907227,-26.289739194905984,0.29862120953893784,-26.879476547241211,-25.539743423461914,0.2178497314453125,prim,0.5,1e+20,0.0096120999999999984,1e+20,13256,29,0.013084718,0.47160287299999998,0.491558145,true,branched,
29,59,28,111,6,48,t_m_12_0,m,0.0033333333333336324,0.0033333333333336324,-25.771015167236328,0,-25.771015167236328,-26.291805473533838,0.29503063987457373,-26.896736145019531,-25.546695709228516,0.2243194580078125,prim,0.5,1e+20,0.0096120999999999984,1e+20,13271,30,0.012981744,0.45306830399999998,0.47290181999999997,true,branched,
