t,t,t,t,t,t
D01-X01,T255-X02,8905.621,TESTA01-211,TESTA01,
T502-X06G,T301-X02,8561.306,TESTA01-212,TESTA01,
T251-X01,B02-X03,7849.585,TESTA01-213,TESTA01,
T301-X03,T253-X01,11960.937,TESTA01-214,TESTA01,
C02-X08,C06-X03,4843.448,TESTA01-215,TESTA01,
T252-X03,T254-X03,6257.498,TESTA01-216,TESTA01,
C03-X03,C05-X02,4955.074,TESTA01-217,TESTA01,
T505-X01,C04-X02,7327.011,TESTA01-218,TESTA01,
T507-X01,D01-X01,6608.918,TESTA01-219,TESTA01,
C05-X03,T256-X03,8882.755,TESTA01-220,TESTA01,
T256-X03,C06-X01,6717.777,TESTA01-221,TESTA01,
T203-X09,T402-X01,3994.265,TESTA01-222,TESTA01,
C06-X02,T507-X05,4619.317,TESTA01-223,TESTA01,
T402-X01,C04-X04,6105.498,TESTA01-224,TESTA01,
C04-X03,T255-X01,2782.077,TESTA01-225,TESTA01,
B02-X03,C03-X04,7046.193,TESTA01-226,TESTA01,
T253-X02,C05-X03,4698.941,TESTA01-227,TESTA01,
T301-X02,T252-X02,13006.05,TESTA01-228,TESTA01,
C02-X07,D01-X02,6322.743,TESTA01-229,TESTA01,
T255-X02,C06-X04,6931.879,TESTA01-230,TESTA01,
C07-X01,B02-X01,8580.612,TESTA01-231,TESTA01,
T252-X01,C04-X01,11334.53,TESTA01-232,TESTA01,
T507-X05,C05-X01,2454.137,TESTA01-233,TESTA01,
C03-X04,T301-X01,4716.99,TESTA01-234,TESTA01,
T203-X02,C02-X03,8075.053,TESTA01-235,TESTA01,
T254-X03,T503-X02,3894.146,TESTA01-236,TESTA01,
C05-X01,T256-X02,9150.927,TESTA01-237,TESTA01,
T256-X01,C07-X01,2762.996,TESTA01-238,TESTA01,
D01-X03,B02-X02,7393.211,TESTA01-239,TESTA01,
C04-X05,T255-X03,2883.934,TESTA01-240,TESTA01,
T301-X01,T253-X03,11650.751,TESTA01-241,TESTA01,
C06-X03,C03-X02,5940.608,TESTA01-242,TESTA01,
T252-X03,T254-X01,6617.406,TESTA01-243,TESTA01,
T254-X02,C04-X05,8177.459,TESTA01-244,TESTA01,
T507-X03,C03-X05,7106.5,TESTA01-245,TESTA01,
B02-X04,T256-X03,8589.267,TESTA01-246,TESTA01,
