t,t,t,t,t,t,t,t,t,t,t
127,F0001,F001-92,D01-X22,C03-X02,2.00E-06,,,8030,,1
128,F0001,F001-95,D01-X25,C03-X05,2.00E-06,,,8020,,1
129,F0001,F001-87,D01-X17,T203-X17,2.00E-06,,,16130,,1
130,F0001,F001-91,D01-X21,C03-X01,2.00E-06,,,8060,,1
131,F0001,F001-97,D01-X27,C03-X07,2.00E-06,,,7700,,1
132,F0001,F001-84,D01-X14,T203-X14,2.00E-06,,,16200,,1
133,F0001,F001-103,D01-X33,C03-X14,2.00E-06,,,7950,,1
134,F0001,F001-105,D01-X35,C03-X13,2.00E-06,,,7910,,1
135,F0001,F001-107,T503-X06G,C04-X02,2.00E-06,,,17540,,1
136,F0001,F001-109,T503-X02,C04-X04,2.00E-06,,,18080,,1
137,F0001,F001-111,T503-X08,C04-X06,2.00E-06,,,17570,,1
138,F0001,F001-112,T503-X03,C04-X07,2.00E-06,,,18160,,1
139,F0001,F001-113,T503-X04,C04-X08,2.00E-06,,,18080,,1
140,F0001,F001-114,T503-X05,C04-X09,2.00E-06,,,18470,,1
141,F0001,F001-123,T251-X02,C05-X03,2.00E-06,,,4210,,1
142,F0001,F001-128,T253-X01,C05-X08,2.00E-06,,,4920,,1
143,F0001,F001-131,T254-X01,C05-X11,2.00E-06,,,3240,,1
144,F0001,F001-132,T254-X02,C05-X12,2.00E-06,,,2810,,1
145,F0001,F001-117,T301-X03,C04-X12,2.00E-06,,,10770,,1
146,F0001,F001-133,T254-X03,C05-X13,2.00E-06,,,2850,,1
147,F0001,F001-134,T255-X01,C05-X14,2.00E-06,,,6300,,1
148,F0001,F001-135,T255-X02,C05-X15,2.00E-06,,,6260,,1
149,F0001,F001-137,T403-X01,F01-X02,2.00E-06,,,11770,,1
150,F0001,F001-138,C06-X01,F01-X03,2.00E-06,,,6650,,1
151,F0001,F001-124,T251-X03,C05-X04,4.00E-06,,,3990,,1
152,F0001,F001-121,T301-X07,C05-X01,4.00E-06,,,12600,,1
153,F0001,F001-125,T252-X01,C05-X05,4.00E-06,,,6900,,1
154,F0001,F001-126,T252-X02,C05-X06,4.00E-06,,,6170,,1
155,F0001,F001-127,T252-X03,C05-X07,4.00E-06,,,5870,,1
156,F0001,F001-129,T253-X02,C05-X09,4.00E-06,,,5040,,1
157,F0001,F001-130,T253-X03,C05-X10,4.00E-06,,,4810,,1
158,F0001,F001-122,T251-X01,C05-X02,4.00E-06,,,3980,,1
159,F0001,F001-116,T301-X02,C04-X11,4.00E-06,,,10840,,1
160,F0001,F001-120,T301-X06,C04-X15,4.00E-06,,,11270,,1
161,F0001,F001-142,C06-X05,C07-X01,4.00E-06,,,21990,,1
162,F0001,F001-190,D02-X23,F03-X06,4.00E-06,,,19020,,1
163,F0001,F001-194,D02-X27,T506-X02,4.00E-06,,,16180,,1
164,F0001,F001-189,D02-X22,F03-X05,4.00E-06,,,19110,,1
165,F0001,F001-197,D02-X30,T507-X05G,4.00E-06,,,8890,,1
166,F0001,F001-193,D02-X26,T506-X01,4.00E-06,,,16240,,1
167,F0001,F001-200,D02-X33,T507-X02,4.00E-06,,,9170,,1
168,F0001,F001-199,D02-X32,T507-X01,4.00E-06,,,9120,,1
169,F0001,F001-192,D02-X25,T506-X06G,4.00E-06,,,16030,,1
170,F0001,F001-196,D02-X29,T506-X08,4.00E-06,,,16050,,1
171,F0001,F001-188,D02-X21,F03-X04,4.00E-06,,,19550,,1
172,F0001,F001-198,D02-X31,T507-X06G,4.00E-06,,,8780,,1
173,F0001,F001-202,D02-X35,T507-X08,4.00E-06,,,8690,,1
174,F0001,F001-195,D02-X28,T506-X07,4.00E-06,,,16160,,1
175,F0001,F001-191,D02-X24,T506-X05G,4.00E-06,,,16130,,1
176,F0001,F001-201,D02-X34,T507-X07,4.00E-06,,,8790,,1
177,F0001,F001-169,T204-X17,D02-X02,4.00E-06,,,18480,,1
178,F0001,F001-172,T204-X20,D02-X05,4.00E-06,,,18380,,1
179,F0001,F001-168,T204-X16,D02-X01,4.00E-06,,,18470,,1
180,F0001,F001-170,T204-X18,D02-X03,4.00E-06,,,18430,,1
181,F0001,F001-171,T204-X19,D02-X04,4.00E-06,,,18390,,1
182,F0001,F001-174,D02-X07,F02-X05,4.00E-06,,,18750,,1
183,F0001,F001-178,D02-X11,T504-X04,4.00E-06,,,12060,,1
184,F0001,F001-183,D02-X16,T505-X04,4.00E-06,,,9020,,1
185,F0001,F001-173,D02-X06,F02-X04,4.00E-06,,,18450,,1
186,F0001,F001-176,D02-X09,T504-X08,4.00E-06,,,11570,,1
187,F0001,F001-180,D02-X13,T505-X07,4.00E-06,,,9110,,1
188,F0001,F001-182,D02-X15,T505-X03,4.00E-06,,,8960,,1
189,F0001,F001-184,D02-X17,T505-X05,4.00E-06,,,9020,,1
190,F0001,F001-185,D02-X18,F03-X01,4.00E-06,,,19480,,1
191,F0001,F001-175,D02-X08,F02-X06,4.00E-06,,,18830,,1
192,F0001,F001-177,D02-X10,T504-X03,4.00E-06,,,11990,,1
193,F0001,F001-181,D02-X14,T505-X08,4.00E-06,,,9480,,1
194,F0001,F001-186,D02-X19,F03-X02,4.00E-06,,,19360,,1
195,F0001,F001-179,D02-X12,T504-X05,4.00E-06,,,11710,,1
196,F0001,F001-187,D02-X20,F03-X03,4.00E-06,,,19700,,1
197,F0001,F001-72,D01-X02,T203-X02,4.00E-06,,,15770,,1
198,F0001,F001-75,D01-X05,T203-X05,4.00E-06,,,15640,,1
199,F0001,F001-76,D01-X06,T203-X06,4.00E-06,,,15620,,1
200,F0001,F001-74,D01-X04,T203-X04,4.00E-06,,,15690,,1
201,F0001,F001-73,D01-X03,T203-X03,4.00E-06,,,15720,,1
202,F0001,F001-71,D01-X01,T203-X01,4.00E-06,,,15910,,1
