event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,10,3250,4.824192047119141,5.167991638183594,0.22860000000000003,,,,,,438,-58.31158447265625,18.11761474609375,1.0,1536.45703125,64.423828125,,data/instances/train/real_06.cip
train_update,10,3300,1.8721216917037964,2.2223567962646484,0.21720000000000006,,,,,,444,-59.55375671386719,16.599454879760742,12.0,1536.45703125,64.423828125,,data/instances/train/real_06.cip
episode,10,3344,3.556131601333618,3.970038890838623,0.2058000000000001,-44.0,45,60.415645,,,451,,,6.880952380952381,1505.01953125,64.423828125,timelimit,data/instances/train/real_06.cip
train_update,11,3350,4.833211898803711,5.178147315979004,0.2058000000000001,,,,,,451,-55.170387268066406,20.057966232299805,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,11,3400,0.31229811906814575,0.639824628829956,0.19440000000000002,,,,,,456,-60.825035095214844,17.383886337280273,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,11,3450,1.6736271381378174,2.0008950233459473,0.18110000000000004,,,,,,463,-64.36876678466797,15.604945182800293,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,11,3500,5.326994895935059,5.6767988204956055,0.16970000000000007,,,,,,469,-52.876869201660156,14.853144645690918,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,11,3550,0.36133813858032227,0.751327395439148,0.1583,,,,,,475,-56.689056396484375,22.269210815429688,43.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,11,3600,1.6053105592727661,1.9374140501022339,0.14690000000000003,,,,,,481,-60.16648864746094,16.815732955932617,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,11,3650,1.1699271202087402,1.5510492324829102,0.13360000000000005,,,,,,490,-62.06437301635742,18.455888748168945,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
